url_title,Topic
saw-open-data-science-conference-europe-2017,0
saw-ecml-pkdd-2017,0
not-deep-learning-learning-represent,0
saw-liked-2017,0
saw-recsys-2017-conference,0
reading-list-machine-learning-designers,0
the-best-online-courses-for-data-scientists,0
saw-data-natives-2017,0
saw-liked-2017-part-2,0
a-weird-introduction-to-deep-learning,0
big-data-volume-is-not-the-problem-but-the-generation-of-value-in-an-environment-with-such-diversity,1
first-look-back-look-forward,1
big-data-transformed-bbva-way-things,1
what-does-your-bank-know-about-you,1
digital-transformation-big-data-companies,1
recommended-readings-data-science,1
the-best-data-science-masters-in-spain-and-online-to-consider-this-summer,1
transformation-bank-digital-business,1
creating-value-from-geolocated-financial-data,2
urban-analytics-to-measure-the-economic-impact-of-traffic-calming,2
urban-discovery-a-vision-to-rethink-cities,2
rediscovering-cities-credit-card-data-2,2
untangle-cascade-effects-complex-systems,2
rediscovering-cities-credit-card-data,2
understanding-economic-redistribution-with-credit-card-payments,2
presentation-urban-discovery-contribution-improved-vision-big-cities,2
saw-spark-summit-2017-spark-embraces-deep-learning,3
saw-spark-summit-europe-2017-spark-libraries-real-machine-learning-systems-production-reality-deep-learning-spark,3
environment-spark-less-30-seconds-thanks-docker,3
cost-effective-scalable-collaborative-filtering-based-recommender-system,3
one-click-closer-to-an-ai-powered-account-manager,4
personalizing-banking-services-advanced-data-analytics,4
4062-2,4
kitties-helped-bbva-detect-credit-card-fraud,4
improving-response-rate-non-customer-campaigns-smote-algorithm,4
improving-predictions-in-deep-learning-by-modelling-uncertainty-2,4
improving-customer-experience-forecasting-models,4
how-to-improve-customer-service-using-text-analytics,4
client2vec-finding-better-way-understand-clients-preferences,4
bayesian-deep-learning-meets-google-cloud-for-a-better-forecasting-engine-at-bbva,4
learning-cardiac-arrhythmias-improve-customer-satisfaction-working-imbalanced-data,4
reinforcement-learning-for-pricing-strategy-optimization,4
saw-liked-2017-part-3,5
stephen-hawking-genius-saw-potential-responsible-development-artificial-intelligence,5
the-most-important-developments-in-data-science-of-2018,5
nips-chronicles-saw,5
what-will-the-bank-of-the-future-look-like,5
adding-fairness-to-dynamic-pricing-with-reinforcement-learning,5
lifting-the-veil-of-interpretability-in-a-world-controlled-by-algorithms,5
artificial-intelligence-will-be-omnipresent-in-the-future,5
fairness-by-design-in-machine-learning-is-going-mainstream,5
bringing-the-artificial-intelligence-to-its-true-potential,5
7-challenges-for-the-global-digital-economy,6
an-international-football-story-how-to-analyze-a-collective-game-individually,6
bbva-data-analytics-awarded-by-the-banker-technology-projects-of-the-year-award,6
training-an-essential-perk-to-retain-a-data-scientist-profile,6
building-open-source-software-in-a-large-corporation,6
recsys-debate-widen-world-find-new-ones,6
research-and-innovation-what-the-future-looks-like-for-the-eu,6
ethical-implications-of-personal-data-usage-from-corporations,6
eurovision-2018-just-another-excuse-to-demonstrate-the-value-of-data,6
finding-a-common-vision-design-fiction-to-establish-a-dialogue-among-business-data-science-and-design-in-finance,6
how-data-driven-initiatives-can-save-young-lives,6
innovation-will-become-customer-focused-participation-enter-2018,6
saw-icdm-2017-tackling-data-problems-real-world-examples,6
no-problem-too-big-no-solution-too-computationally-smal,6
can-people-analytics-transform-management,6
cleansing-exploratory-data-analysis-apache-spark-optimus,6
